plotlocation,x,y,longitude,latitude
LI D 2,189059.5373,1996667.537,-77.93676166,18.03627346
LI C 2,189098.8968,1996697.337,-77.93639475,18.03654809
LI B.5 2,189127.351,1996711.413,-77.93612837,18.03667923
LI B 2,189148.9966,1996722.213,-77.93592575,18.03677982
LI A.5 2,189171.2995,1996728.239,-77.93571621,18.03683742
LI A 2,189190.8066,1996734.822,-77.93553313,18.03689963
LI A 3,189214.9805,1996694.422,-77.93529898,18.03653842
LI B 3,189167.9053,1996677.482,-77.93574063,18.03637875
LI B 2.5,189160.5331,1996698.94,-77.93581341,18.0365714
LI C 3,189128.1936,1996650.151,-77.93611124,18.03612635
LI D 3,189082.2128,1996620.39,-77.93654064,18.03585112
LI D 4,189100.325,1996575.054,-77.93636295,18.03544448
LI C.5 4,189128.3515,1996591.437,-77.93610095,18.03559639
LI C 4,189150.09,1996602.639,-77.93589751,18.03570062
LI C.5 3,189137.5198,1996625.632,-77.93601957,18.03590637
LI B.5 4,189165.7643,1996627.105,-77.93575328,18.03592371
LI B 4,189199.4979,1996633.981,-77.93543601,18.03599061
LI B 3.5,189187.7734,1996651.828,-77.93554932,18.03615004
LI A 4,189230.199,1996651.956,-77.93514902,18.03615727
LI A 3.5,189225.4531,1996677.305,-77.9351976,18.0363854
LI A 4.5,189249.2412,1996631.747,-77.93496632,18.03597758
LI A 5,189260.1742,1996608.891,-77.93485974,18.03577283
LI B 5,189211.626,1996577.905,-77.93531318,18.03548617
LI B 4.5,189204.0646,1996604.364,-77.93538849,18.03572392
LI B.5 5,189191.968,1996564.732,-77.93549669,18.03536445
LI C 5,189174.6348,1996558.872,-77.93565936,18.03530907
LI C 4.5,189159.8881,1996576.931,-77.93580121,18.03546997
LI C.5 5,189149.2067,1996545.216,-77.93589725,18.03518215
LI D 5,189127.4925,1996531.193,-77.93610003,18.03505247
LI D 4.5,189117.4611,1996552.458,-77.93619787,18.03524298
LI D 5.5,189139.8111,1996514.65,-77.93598132,18.0349049
LI D 6,189158.0312,1996491.601,-77.93580595,18.03469946
LI C 6,189202.1406,1996516.639,-77.9353935,18.03493179
LI C 5.5,189185.6062,1996537.775,-77.93555268,18.0351202
LI C 6.5,189220.3623,1996498.377,-77.93521883,18.03476955
LI B 6,189243.2021,1996537.236,-77.93500915,18.03512359
LI B 5.5,189224.8514,1996555.766,-77.93518507,18.03528823
LI A 6,189291.2635,1996563.591,-77.9345596,18.03536837
LI A 6.5,189308.3451,1996545.211,-77.93439568,18.03520492
LI A 7,189317.2389,,-77.93430818,18.03499084
LI B 7,189274.3298,1996497.463,-77.93470948,18.03476903
LI B 6.5,189258.3788,1996518.888,-77.9348632,18.03496015
LI B 7.5,189291.6946,1996480.06,-77.93454303,18.03461443
LI B 8,189306.4856,1996457.61,-77.9344001,18.0344139
LI B 8.5,189324.8472,1996435.012,-77.93422347,18.03421255
LI B 9,189340.6322,1996416.467,-77.93407175,18.0340474
LI C 7,189240.1737,1996475.37,-77.93502845,18.03456471
LI C 7.5,189249.58,1996452.024,-77.9349362,18.03435532
LI C 8,189265.8536,1996429.777,-77.93477932,18.03415684
LI D 8,189223.2024,1996415.347,-77.9351796,18.03402048
LI D 8.5,189239.1717,1996395.046,-77.93502588,18.03383951
LI D 9,189259.8238,1996379.79,-77.93482873,18.03370476
LI C 9,189295.5191,1996389.299,-77.93449335,18.0337957
LI C 8.5,189281.2267,1996410.882,-77.93463144,18.03398848
LI D 7,189192.411,1996452.624,-77.93547572,18.03435255
LII H 6,188514.7389,1997242.677,-77.94198855,18.04138684
LII H 6.5,188540.1039,1997237.802,-77.94174847,18.04134648
LII H 7,188572.6628,1997249.829,-77.94144306,18.04145973
LII H 7.5,188594.7032,1997253.701,-77.94123567,18.04149784
LII H 8,188619.6412,1997256.364,-77.94100076,18.04152546
LII H 8.5,188647.5393,1997252.658,-77.94073696,18.04149601
LII H 9,188673.1815,1997255.941,-77.94049549,18.04152933
LII H 9.5,188692.6275,1997257.608,-77.94031225,18.04154718
LII H 10,188722.7828,1997260.923,-77.9400282,18.04158142
LII H 10.5,188747.9686,1997263.119,-77.93979088,18.04160486
LII H 11,188771.6704,1997264.407,-77.93956743,18.04161989
LII I 11,188767.2176,1997318.6,-77.93961758,18.04210844
LII H 10.5,188746.3754,1997315.815,-77.93981383,18.0420803
LII I 10,188719.8606,1997312.556,-77.94006353,18.04204708
LII H.5 10,188719.6869,1997283.456,-77.9400608,18.04178438
LII I 9.5,188694.8479,1997307.968,-77.94029886,18.04200207
LII I 9,188669.3837,1997306.34,-77.94053889,18.04198372
LII H.5 9,188670.8354,1997281.014,-77.94052139,18.04175532
LII I 8.5,188654.0185,1997311.849,-77.94068471,18.04203124
LII I 8,188619.4831,1997308.039,-77.94101001,18.04199189
LII H.5 8,188624.2568,1997281.822,-77.94096103,18.04175593
LII I 7.5,188598.3536,1997301.928,-77.94120847,18.04193369
LII I 7,188569.8203,1997299.724,-77.94147737,18.0419097
LII H.5 7,188569.8365,1997281.322,-77.94147446,18.04174359
LII I 6.5,188545.9377,1997300.133,-77.94170279,18.04190996
LII I 6,188518.3205,1997292.834,-77.94196229,18.0418401
LII H.5 6,188517.0943,1997268.534,-77.94197021,18.04162058
LII I 5.5,188493.5725,1997293.241,-77.94219587,18.04184022
LII I 5,188466.4148,1997289.863,-77.94245162,18.04180583
LII I.5 5,188468.0017,1997321.973,-77.94244147,18.04209591
LII J 5,188463.6983,1997348.226,-77.94248602,18.04233226
LII J 5.5,188486.7916,1997345.419,-77.94226769,18.04231024
LII J 6,188509.4407,1997352.957,-77.94205511,18.04238154
LII I.5 6,188517.4879,1997319.835,-77.9419742,18.04208371
LII J 6.5,188535.7497,1997350.35,-77.94180646,18.04236179
LII J 7,188564.8837,1997351.328,-77.9415317,18.0423748
LII I.5 7,188565.9863,1997326.991,-77.94151764,18.04215527
LII J 7.5,188589.1442,1997352.11,-77.9413029,18.04238534
LII J 8,188615.0132,1997355.367,-77.94105929,18.04241846
LII I.5 8,188618.8603,1997331.24,-77.94101937,18.04220123
LII J 8.5,188638.7064,1997354.333,-77.94083557,18.04241253
LII J 9,188665.8937,1997357.546,-77.94057951,18.04244543
LII I.5 9,188665.7068,1997333.428,-77.94057765,18.04222771
LII J 9.5,188690.4043,1997357.266,-77.94034819,18.04244643
LII J 10,188712.6669,1997361.907,-77.94013882,18.04249152
LII I.5 10,188717.1831,1997337.571,-77.94009255,18.0422725
LII J 10.5,188737.0444,1997362.34,-77.93990886,18.04249892
LII J 11,188761.9505,1997364.714,-77.9396742,18.04252393
LII K 11,188764.0727,1997406.783,-77.93966049,18.04290398
LII K 10.5,188736.9838,1997403.562,-77.93991561,18.04287102
LII K 10,188708.9967,1997398.805,-77.94017899,18.04282406
LII K 9.5,188684.6684,1997402.025,-77.94040903,18.04284963
LII K 9,188662.7524,1997399.767,-77.94061549,18.0428261
LII K 8.5,188639.3319,1997399.249,-77.94083641,18.04281806
LII K 8,188619.1023,1997400.851,-77.94102754,18.04282962
