ts,tagID,fix,bearing,longitude,latitude,plotlocation
1/18/17 9:55,64,1,NA,-77.94092834,18.0401875,MII E 8
1/18/17 10:26,52,2,NA,-77.94141005,18.04054395,MII F 7
1/20/17 12:54,44,3,NA,NA,NA,LI B.1 7.9
1/21/17 11:45,44,2,NA,NA,NA,LI B.1 7.8
1/22/17 10:19,44,2,NA,NA,NA,LI B.1 7.8
1/22/17 10:57,39,1,NA,-77.93718102,18.03809266,MI E 2.5
1/22/17 11:25,39,2,NA,NA,NA,MI E.7 3.6
1/24/17 7:19,52,1,NA,NA,NA,MII F.6 8.1
1/25/17 6:55,44,1,NA,-77.93407175,18.0340474,LI B 9
1/25/17 7:34,380,1,NA,-77.93612837,18.03667923,LI B.5 2
1/25/17 9:53,39,2,NA,-77.93718102,18.03809266,MI E 2.5
1/25/17 10:27,44,4,NA,NA,NA,LI B.1 7.3
1/25/17 11:25,39,3,NA,NA,NA,MI E.1 3.5
1/27/17 8:30,64,1,NA,-77.93408,18.03864,NA
1/27/17 9:04,380,2,NA,-77.93674,18.03662,NA
1/27/17 11:32,44,3,NA,NA,NA,LI B.1 8
1/27/17 12:55,377,1,NA,-77.9411,18.04113,NA
1/28/17 9:00,359,1,NA,-77.94211,18.03861,NA
1/28/17 10:36,358,4,NA,-77.93807,18.04134,NA
1/29/17 7:00,380,2,NA,-77.93678,18.03688,NA
1/29/17 7:17,39,2,NA,-77.9368028,18.03827736,MI E 3.5
1/29/17 12:28,39,5,NA,-77.93706,18.0382,NA
1/29/17 13:07,358,2,NA,-77.93813,18.04141,NA
1/29/17 14:14,364,2,NA,-77.9435,18.04301,NA
2/1/17 8:24,358,2,NA,-77.9381,18.04144,NA
2/1/17 9:23,44,1,NA,NA,NA,LI C.9 7.9
2/1/17 10:09,380,2,NA,NA,NA,MII A.5 2
2/2/17 8:51,44,4,NA,NA,NA,LI B.1 7.8
2/2/17 9:59,52,2,NA,-77.94134,18.04032,NA
2/2/17 11:20,364,NA,NA,-77.9435,18.04276,NA
2/3/17 7:43,380,2,NA,-77.93661,18.03678,NA
2/3/17 8:09,44,3,NA,-77.93429226,18.03393456,LI B.5 9
2/4/17 7:57,44,2,NA,NA,NA,LI A.9 7.9
2/4/17 9:16,52,4,NA,-77.94141005,18.04054395,MII F 7
2/4/17 9:47,51,5,NA,-77.94121,18.04054,NA
2/4/17 10:04,358,4,NA,-77.93826,18.04143,NA
2/5/17 6:36,358,1,NA,-77.94105929,18.04241846,LII J 8
2/5/17 6:53,358,3,NA,-77.93991,18.04259,NA
2/5/17 7:04,358,4,NA,-77.9395,18.04255,NA
2/5/17 7:18,358,5,NA,-77.9397,18.04239,NA
2/5/17 7:42,52,2,NA,-77.94141005,18.04054395,MII F 7
2/5/17 8:17,44,3,NA,NA,NA,LI A.9 7.8
2/5/17 8:41,52,4,NA,-77.94145,18.04056,NA
2/5/17 9:30,358,6,NA,-77.9381,18.04155,NA
