"GID","x","y","bearing","avg_ts","tagID"
"2017-52-1-018",1997108.05570306,188624.95605292,346,2017-01-18 10:17:00,52
"2017-52-1-018",1997131.51035763,188621.846752594,270,2017-01-18 10:17:00,52
"2017-52-1-018",1997155.81296063,188598.029996545,212,2017-01-18 10:17:00,52
"2017-64-2-018",1997083.28741291,188644.831553319,350,2017-01-18 11:03:40,64
"2017-64-2-018",1997112.83979104,188648.46304809,258,2017-01-18 11:03:40,64
"2017-64-2-018",1997131.51035763,188621.846752594,294,2017-01-18 11:03:40,64
"2017-359-1-018",1997136.83341106,188574.368143474,241,2017-01-18 11:33:20,359
"2017-359-1-018",1997106.69647132,188572.383682807,243,2017-01-18 11:33:20,359
"2017-359-1-018",1997123.41620218,188547.650365435,238,2017-01-18 11:33:20,359
"2017-359-2-018",1997099.71766212,188546.939394568,223,2017-01-18 11:49:20,359
"2017-359-2-018",1997098.03207855,188526.43952721,238,2017-01-18 11:49:20,359
"2017-359-2-018",1997097.64146936,188496.828040603,190,2017-01-18 11:49:20,359
"2017-359-3-018",1997098.03207855,188526.43952721,260,2017-01-18 12:19:40,359
"2017-359-3-018",1997097.64146936,188496.828040603,210,2017-01-18 12:19:40,359
"2017-359-3-018",1997096.90983625,188474.306422017,204,2017-01-18 12:19:40,359
"2017-44-1-020",1996537.23575929,189243.201643279,118,2017-01-20 12:14:40,44
"2017-44-1-020",1996548.64289768,189264.707224455,186,2017-01-20 12:14:40,44
"2017-44-1-020",1996545.21176402,189308.344632372,203,2017-01-20 12:14:40,44
"2017-44-2-020",1996480.06000682,189291.694270041,358,2017-01-20 12:38:00,44
"2017-44-2-020",1996497.46258884,189274.329822488,52,2017-01-20 12:38:00,44
"2017-44-2-020",1996518.88854432,189258.378412055,120,2017-01-20 12:38:00,44
"2017-44-1-021",1996480.06000682,189291.694270041,354,2017-01-21 11:27:40,44
"2017-44-1-021",1996497.46258884,189274.329822488,45,2017-01-21 11:27:40,44
"2017-44-1-021",1996518.88854432,189258.378412055,78,2017-01-21 11:27:40,44
"2017-44-1-022",1996452.62418239,189192.410604269,76,2017-01-22 10:10:00,44
"2017-44-1-022",1996433.92504563,189211.400358136,44,2017-01-22 10:10:00,44
"2017-44-1-022",1996415.34778377,189223.202256735,35,2017-01-22 10:10:00,44
"2017-52-2-024",1997184.32894449,188624.186719331,253,2017-01-24 09:08:00,52
"2017-52-2-024",1997202.14856151,188598.905055953,149,2017-01-24 09:08:00,52
"2017-52-2-024",1997199.27198162,188573.04715794,125,2017-01-24 09:08:00,52
"2017-52-3-024",1997257.60891258,188692.627582561,250,2017-01-24 11:12:20,52
"2017-52-3-024",1997255.94078286,188673.181617859,245,2017-01-24 11:12:20,52
"2017-52-3-024",1997256.36389206,188619.640773331,193,2017-01-24 11:12:20,52
"2017-52-4-024",1997253.70086808,188594.703062972,208,2017-01-24 12:56:00,52
"2017-52-4-024",1997256.36389206,188619.640773331,235,2017-01-24 12:56:00,52
"2017-52-4-024",1997229.19348147,188618.229215271,253,2017-01-24 12:56:00,52
"2017-359-1-024",1996872.97664724,188447.232521,35,2017-01-24 13:55:40,359
"2017-359-1-024",1996874.82074615,188470.577557961,65,2017-01-24 13:55:40,359
"2017-359-1-024",1996862.45216527,188482.03854998,30,2017-01-24 13:55:40,359
"2017-44-2-025",1996435.01259112,189324.846929799,65,2017-01-25 07:08:40,44
"2017-44-2-025",1996416.46637316,189340.63221791,8,2017-01-25 07:08:40,44
"2017-44-2-025",1996424.20160131,189360.017173614,328,2017-01-25 07:08:40,44
"2017-39-1-025",1996889.54882729,189058.704237286,352,2017-01-25 08:05:00,39
"2017-39-1-025",1996943.44329462,189063.254856115,336,2017-01-25 08:05:00,39
"2017-380-2-025",1996667.53785992,189059.537625002,352,2017-01-25 08:53:20,380
"2017-380-2-025",1996682.57909968,189081.770740052,355,2017-01-25 08:53:20,380
"2017-380-2-025",1996697.33700194,189098.896347624,275,2017-01-25 08:53:20,380
"2017-44-3-025",1996480.06000682,189291.694270041,8,2017-01-25 09:22:00,44
"2017-44-3-025",1996497.46258884,189274.329822488,84,2017-01-25 09:22:00,44
"2017-44-3-025",1996518.88854432,189258.378412055,140,2017-01-25 09:22:00,44
"2017-380-3-025",1996722.21305036,189148.996315977,255,2017-01-25 09:35:40,380
"2017-380-3-025",1996698.94052056,189160.532617624,294,2017-01-25 09:35:40,380
"2017-380-3-025",1996677.48116059,189167.905142253,310,2017-01-25 09:35:40,380
"2017-377-NA-025",1997423.35739541,188663.304828512,83,2017-01-25 13:04:00,377
"2017-380-1-026",1996667.53785992,189059.537625002,192,2017-01-26 06:39:00,380
"2017-380-1-026",1996682.57909968,189081.770740052,336,2017-01-26 06:39:00,380
"2017-380-1-026",1996697.33700194,189098.896347624,278,2017-01-26 06:39:00,380
"2017-44-1-026",1996475.36961671,189240.174174457,119,2017-01-26 06:48:40,44
"2017-44-1-026",1996452.02353858,189249.580429095,89,2017-01-26 06:48:40,44
"2017-44-1-026",1996429.7771153,189265.853779822,87,2017-01-26 06:48:40,44
"2017-380-2-026",1996682.57909968,189081.770740052,355,2017-01-26 07:04:20,380
"2017-380-2-026",1996697.33700194,189098.896347624,298,2017-01-26 07:04:20,380
"2017-380-2-026",1996711.41314949,189127.351026789,279,2017-01-26 07:04:20,380
"2017-44-2-026",1996537.23575929,189243.201643279,135,2017-01-26 07:13:00,44
"2017-44-2-026",1996518.88854432,189258.378412055,140,2017-01-26 07:13:00,44
"2017-44-2-026",1996497.46258884,189274.329822488,152,2017-01-26 07:13:00,44
"2017-380-3-026",1996697.33700194,189098.896347624,335,2017-01-26 07:25:00,380
"2017-380-3-026",1996682.57909968,189081.770740052,15,2017-01-26 07:25:00,380
"2017-380-3-026",1996667.53785992,189059.537625002,40,2017-01-26 07:25:00,380
"2017-39-1-026",1996888.08939833,189099.250082082,290,2017-01-26 07:51:20,39
"2017-39-1-026",1996902.63899968,189089.943022388,259,2017-01-26 07:51:20,39
"2017-39-1-026",1996924.85729686,189086.056770521,250,2017-01-26 07:51:20,39
"2017-39-2-026",1996888.08939833,189099.250082082,328,2017-01-26 08:34:40,39
"2017-39-2-026",1996902.63899968,189089.943022388,320,2017-01-26 08:34:40,39
"2017-39-2-026",1996924.85729686,189086.056770521,274,2017-01-26 08:34:40,39
"2017-64-1-026",1996905.80226276,189309.404717879,68,2017-01-26 09:50:00,64
"2017-64-1-026",1996915.51734998,189325.421912982,44,2017-01-26 09:50:00,64
"2017-64-1-026",1996912.78094459,189358.232064687,335,2017-01-26 09:50:00,64
"2017-39-3-026",1996888.08939833,189099.250082082,280,2017-01-26 10:29:00,39
"2017-39-3-026",1996902.63899968,189089.943022388,250,2017-01-26 10:29:00,39
"2017-39-3-026",1996924.85729686,189086.056770521,218,2017-01-26 10:29:00,39
"2017-380-4-026",1996667.53785992,189059.537625002,360,2017-01-26 10:47:00,380
"2017-380-4-026",1996682.57909968,189081.770740052,305,2017-01-26 10:47:00,380
"2017-380-4-026",1996697.33700194,189098.896347624,285,2017-01-26 10:47:00,380
"2017-44-3-026",1996486.1759698,189254.792071658,110,2017-01-26 11:00:40,44
"2017-44-3-026",1996475.36961671,189240.174174457,105,2017-01-26 11:00:40,44
"2017-44-3-026",1996452.02353858,189249.580429095,60,2017-01-26 11:00:40,44
"2017-52-1-026",1997257.60891258,188692.627582561,248,2017-01-26 12:25:00,52
"2017-52-1-026",1997255.94078286,188673.181617859,255,2017-01-26 12:25:00,52
"2017-52-1-026",1997252.65744498,188647.538840754,198,2017-01-26 12:25:00,52
"2017-377-1-026",1997256.36389206,188619.640773331,257,2017-01-26 12:34:40,377
"2017-377-1-026",1997253.70086808,188594.703062972,273,2017-01-26 12:34:40,377
"2017-377-1-026",1997249.82965022,188572.662634442,220,2017-01-26 12:34:40,377
"2017-380-1-027",1996667.53785992,189059.537625002,42,2017-01-27 07:08:20,380
"2017-380-1-027",1996682.57909968,189081.770740052,20,2017-01-27 07:08:20,380
"2017-380-1-027",1996697.33700194,189098.896347624,312,2017-01-27 07:08:20,380
"2017-44-1-027",1996452.02353858,189249.580429095,134,2017-01-27 07:26:40,44
"2017-44-1-027",1996429.7771153,189265.853779822,65,2017-01-27 07:26:40,44
"2017-44-1-027",1996410.88177686,189281.226514178,35,2017-01-27 07:26:40,44
"2017-39-1-027",1996888.08939833,189099.250082082,298,2017-01-27 07:44:40,39
"2017-39-1-027",1996902.63899968,189089.943022388,302,2017-01-27 07:44:40,39
"2017-39-1-027",1996924.85729686,189086.056770521,250,2017-01-27 07:44:40,39
"2017-39-2-027",1996924.85729686,189086.056770521,214,2017-01-27 08:53:20,39
